num,date,duration,name,note,link,media,mediaurl,credit,caption
49,10/29/2018,3,800 U.S. soldiers deployed to the Mexico border,"800 U.S. soldiers are deployed to the Mexico–United States border as a part of Operation Faithful Patriot, reinforcing the border against incoming Central American migrant caravans.",https://en.wikipedia.org/wiki/Operation_Faithful_Patriot,img,NORTHCOM_Supports_Southwest_Border_Security.jpg,"By U.S. Government - https://www.dvidshub.net/image/4853209/northcom-supports-southwest-border-security, Public Domain, https://commons.wikimedia.org/w/index.php?curid=74861035","U.S. Air Force General Terrance J. O'Shaughnessy, Commander of the North American Aerospace Defense Command and U.S. Northern Command provides guidance to Department of Defense personnel, in coordination with Customs and Border Protection liaison officers and other supporting interagency partners, during a planning and operational update briefing about mission-enhancing DoD capabilities that will be provided in support of the Department of Homeland Security, Oct. 28, 2018. USNORTHCOM serves as the synchronizer of DoD forces providing mission-enhancing capabilities in support of DHS and CBP along the Southwest Border."
50,11/6/2018,1,2018 United States mid-term elections,"The Democrats gain 40 seats to take control of the House of Representatives, but lose two seats in the Senate.","https://en.wikipedia.org/wiki/United_States_elections,_2018",politic,,,
51,11/7/2018,1,Thousand Oaks shooting,"12 people and the perpetrator are killed in a shooting at the Borderline Bar and Grill, in Thousand Oaks, California, about 40 miles (65 km) north-west of Los Angeles.",https://en.wikipedia.org/wiki/Thousand_Oaks_shooting,img,Borderline_thousand_oaks.jpg,"By TOLocal - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=76432889",Flowers outside Borderline Bar & Grill following the 2018 mass shooting.
52,12/22/2018,56,2018–2019 United States federal government shutdown,A partial shutdown of the government begins after Congress fails to agree a budget.,https://en.wikipedia.org/wiki/2018%E2%80%932019_United_States_federal_government_shutdown,video,https://www.youtube.com/embed/A90yR-Nkwn8,,"Donald Trump meets with Nancy Pelosi and Chuck Schumer on December 11, 2018, stating ""I will be the one to shut it down."""
53,1/1/2019,1,Washington state gun law,Washington state bans all persons under 21 years of age from purchasing a semi-automatic assault rifle.,"https://en.wikipedia.org/wiki/Gun_laws_in_Washington#:~:text=Must%20be%2021%20to%20purchase,in%20the%20last%20five%20years.",gun-control,,,
54,1/3/2019,1,The Democrats take control of the House of Representatives,"The Democrats take control of the House of Representatives, with a promise to end the government shutdown, but without funding for President Donald Trump's proposed border wall. The Republicans increase their control of the United States Senate.",https://en.wikipedia.org/wiki/116th_United_States_Congress,img,2019_State_of_the_Union_(40042020903)_(cropped).jpg,"By The White House from Washington, DC - 2019 State of the Union, Public Domain, https://commons.wikimedia.org/w/index.php?curid=76391688",2019 State of the Union Address
55,2/15/2019,1,"Aurora, Illinois shooting","Gary Montez Martin murders five people and injures six others in a mass shooting at Henry Pratt Company in Aurora, Illinois.","https://en.wikipedia.org/wiki/Aurora,_Illinois_shooting",shooting,,,
56,3/15/2019,1,Global School strike,"Hundreds of students stage a walkout and rally at the Capitol building, demanding legal action on climate change. They are joined by students in over 1,600 simultaneous protests in 100 countries around the world.",https://en.wikipedia.org/wiki/School_strike_for_climate,img,"San_Francisco_Youth_Climate_Strike_-_March_15,_2019_-_22.jpg","By Intothewoods7 - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=77367186",School strike in San Francisco on 15 March 2019
57,3/26/2019,1,Bump stock,"""Bump stocks"" are made illegal in the United States.",https://en.wikipedia.org/wiki/Bump_stock,img,Slide_Fire_Solutions_Slidefire_Stock_on_a_GP_WASR-10_AK-47.jpg,"By WASR - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=63131657",A Slide Fire Solutions bump fire stock on a WASR-10 semiautomatic rifle
58,4/6/2019,1,Louisiana black church fires,"Arson is suspected as the cause of three fires in historically black churches since March 26 in St. Landry Parish, Louisiana. A fourth, smaller fire was set at a majority-white church in Caddo Parish on March 31. The culprit in the case of the three black churches is arrested and charged on April 11.",https://en.wikipedia.org/wiki/Louisiana_black_church_fires,fire,,,
59,4/27/2019,1,Poway synagogue shooting,"A mass shooting occurs at the Chabad of Poway synagogue in Poway, California on the last day of Passover, resulting in one death and three injuries.",https://en.wikipedia.org/wiki/Poway_synagogue_shooting,shooting,,,
60,4/30/2019,1,University of North Carolina at Charlotte shooting,"A school shooting takes place at the University of North Carolina at Charlotte, leaving two people dead and four injured.",https://en.wikipedia.org/wiki/University_of_North_Carolina_at_Charlotte_shooting,img,Ucity.jpg,"By Bz3rk - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=7105153",Ucity
61,5/7/2019,1,STEM School Highlands Ranch shooting,"A school shooting occurs at the STEM School Highlands Ranch in Douglas County, Colorado, leaving one dead and seven injured.",https://en.wikipedia.org/wiki/STEM_School_Highlands_Ranch_shooting,img,Stem_Academy_Denver_photo.jpg,"By Daniel Hager - Own work, CC0, https://commons.wikimedia.org/w/index.php?curid=78785313",STEM School Highlands Ranch
62,5/31/2019,1,2019 Virginia Beach shooting,"12 people are killed, including the perpetrator, and four are injured in a mass shooting at a municipal center in Virginia Beach, Virginia.",https://en.wikipedia.org/wiki/2019_Virginia_Beach_shooting,shooting,,,
63,6/12/2019,1,Brandon Webber killing,"At least two dozen police officers and two journalists are injured in overnight riots in Memphis, Tennessee after U.S. Marshals kill a 20-year-old black man, Brandon Webber, during an attempted arrest.",https://ebwiki.org/cases/brandon-webber,incident,,,
64,7/6/2019,1,Jeffrey Epstein arrested,Billionaire financier and registered sex offender Jeffrey Epstein is arrested on federal charges of sex trafficking and additionally charged by the Southern District of New York with sex trafficking and with conspiracy to traffic minors in Florida and New York. He was found unresponsive in his jail cell on August 10.,https://en.wikipedia.org/wiki/Death_of_Jeffrey_Epstein,img,Epstein_Final_Mugshot.jpg,"By Department of Justice - Released federal files https://www.motherjones.com/wp-content/uploads/2019/09/Epstein.Docs_.redacted.pdf, Public Domain, https://commons.wikimedia.org/w/index.php?curid=84893344",Jeffrey Epstein's final mugshot before his death
65,7/28/2019,1,Gilroy Garlic Festival shooting,"Four people, including the shooter, are killed and twelve others injured in a mass shooting in Gilroy, California.",https://en.wikipedia.org/wiki/Gilroy_Garlic_Festival_shooting,img,Gilroy_Garlic_Festival_1_2018-08-06.jpg,"By FASTILY - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=71404583","The Garlic Festival, 2018"
66,8/3/2019,1,El Paso Walmart shooting,"A mass shooting occurs at a Walmart near the Cielo Vista Mall in El Paso, Texas, resulting in 23 fatalities and 23 injured.",https://en.wikipedia.org/wiki/2019_El_Paso_shooting,shooting,,,
67,8/4/2019,1,2019 Dayton shooting,"A mass shooting occurs in the Oregon Historic District in downtown Dayton, Ohio, resulting in 10 fatalities (including the perpetrator) and 27 injuries.",https://en.wikipedia.org/wiki/2019_Dayton_shooting,img,Ned_Peppers_Bar_after_2019_Dayton_shooting.jpg,"By Becker1999 - https://www.flickr.com/photos/becker271/48464964837/in/photostream/, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=81077940",Ned Peppers Bar after 2019 Dayton shooting
68,8/17/2019,2,End Domestic Terrorism rally,"Protests are held in Portland that rally: Proud Boys Three Percenters, a “patriot movement” militia group, and American Guard. They are met with three times as many counter protesters. Anti-gun rallies are held in over 100 cities in all 50 states.",https://en.wikipedia.org/wiki/End_Domestic_Terrorism_rally,img,"Artwork_for_the_End_Domestic_Terrorism_event_in_Portland,_Oregon.jpg","By Source (WP:NFCC#4), Fair use, https://en.wikipedia.org/w/index.php?curid=61505581","Promotional artwork for the End Domestic Terrorism event in Portland, Oregon"
69,8/31/2019,1,Midland–Odessa shooting,"Seven people are killed and 21 others wounded in a shooting in West Texas, between the cities of Midland and Odessa. The suspect is shot and killed by police outside a movie theater in Odessa.",https://en.wikipedia.org/wiki/Midland%E2%80%93Odessa_shooting,shooting,,,
70,9/3/2019,16,Gun control,"The San Francisco Board of Supervisors passes a resolution calling the NRA a ""domestic terrorist organization"". Walmart announces they will stop selling handgun ammunition and certain types of ammo for short-barrelled rifles. Kroger asks shoppers to refrain from openly carrying guns even if it is legal. Other major retailers follow suit. President and CEO Dennis Veilleux of gun manufacturer Colt announces the company will stop producing rifles such as the AR-15 for personal use.",,gun-control,,,
71,9/20/2019,4,School strike for climate,Thousands of students across the United States join their counterparts world-wide in demonstrations against climate change. The demonstrations are led by 16-year-old Swedish activist Greta Thunberg and 12-year-old Colorado activist Haven Coleman.,https://en.wikipedia.org/wiki/School_strike_for_climate,img,"San_Francisco_Youth_Climate_Strike_-_March_15,_2019_-_22.jpg","By Intothewoods7 - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=77367186",School strike in San Francisco on 15 March 2019
72,10/26/2019,1,Greenville shooting,"Two are killed and at least twelve injured at a shooting during a party in Greenville, Texas, celebrating the homecoming of Texas A&M University–Commerce.",,shooting,,,
73,10/31/2019,1,Orinda shooting,"Five are killed and four wounded in a shooting at a house party in Orinda, California.",https://en.wikipedia.org/wiki/Orinda_shooting,shooting,,,
74,11/1/2019,1,Gun laws in Oklahoma,A law that allows almost all citizens to open carry guns goes into effect in Oklahoma.,"https://en.wikipedia.org/wiki/Gun_laws_in_Oklahoma#:~:text=to%20do%20so.-,Carrying%20firearms%20in%20public,they%20are%2021%2B%20years%20old.&text=Individuals%20can%20carry%20at%2018,legalized%20on%20November%201%2C%202017.",gun-control,,,
75,11/17/2019,1,2019 Fresno shooting,"Four people are killed and six are wounded in a shooting at a football-watch party in Fresno, California.",https://en.wikipedia.org/wiki/2019_Fresno_shooting,shooting,,,
76,12/6/2019,1,Naval Air Station Pensacola shooting,Four people die in a mass shooting by a Saudi aviation student that was being trained by the U.S. military.,https://en.wikipedia.org/wiki/Naval_Air_Station_Pensacola_shooting,img,"Skydive_Airshow,_NAS_Pensacola.jpg","By Kevin King from Pensacola, FL, US of A - Skydive Airshow, NAS Pensacola, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=6079642",Pensacola from the air
77,12/10/2019,1,2019 Jersey City shooting,"A mass shooting occurs at a kosher grocery store in Jersey City, New Jersey. The attack is officially designated domestic terrorism two days later.",https://en.wikipedia.org/wiki/2019_Jersey_City_shooting,img,JCKosherMrkt.MLKDr.Greenville.JC.jpg,"By Djflem - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=84847149","JC Kosher Supermarket & entrance to Khal Adas Greenville (left), Martin Luther King Drive in Greenville (on Jackson Hill), Jersey City, New Jersey 07305"
78,12/18/2019,49,First impeachment of Donald Trump,"The U.S. House of Representatives votes largely along party lines to forward two articles of impeachment against President Donald Trump to the Senate, accusing him of abuse of power and obstructing Congress. Donald Trump becomes the third U.S. president to be impeached by the House.",https://en.wikipedia.org/wiki/First_impeachment_of_Donald_Trump,img,House_of_Representatives_Votes_to_Adopt_the_Articles_of_Impeachment_Against_Donald_Trump.jpg,"By United States House of Representatives - House Floorcast – Clerk of the U.S. House of Representatives, Public Domain, https://commons.wikimedia.org/w/index.php?curid=85037886","On December 18, 2019, United States House of Representatives votes to adopt the articles of impeachment, accusing Donald Trump of abuse of power and obstruction of Congress."
79,12/22/2019,1,Englewood Chicago shooting,"At least 13 people are injured during a shooting at a memorial for an earlier shooting victim in Englewood, Chicago, IL.",,shooting,,,
80,1/20/2020,1,2020 VCDL Lobby Day,"22,000 people attend a gun rights rally at the Virginia State Capitol in Richmond to protest proposed gun laws.",https://en.wikipedia.org/wiki/2020_VCDL_Lobby_Day,img,Virginia_2nd_Amendment_Rally_(2020_Jan)_-_49416381422.jpg,"By Anthony Crider - https://www.flickr.com/photos/16086041@N00/49416381422/, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=86145663","Armed demonstrators at the Lobby Day rally, January 20, 2020"
81,1/30/2020,1,Human-to-human transmission of the COVID-19,COVID-19 pandemic: The CDC confirms the first case of human-to-human transmission of the COVID-19 coronavirus in the U.S.,,covid,,,
82,2/29/2020,1,First death from COVID-19,"COVID-19 pandemic: The first death from COVID-19 in the U.S. is reported by officials in Washington state, as the total number of cases nationwide reaches 66.",,covid,,,
83,3/11/2020,326,COVID-19 Pandemic,"President Trump declares a national emergency in response to the COVID-19 pandemic on Mar 13. More than 27,400,000 confirmed cases have been reported since January 2020, resulting in more than 480,000 deaths in 2020.",https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_United_States,covid,,,
84,3/13/2020,1,Shooting of Breonna Taylor,"Breonna Taylor, a 26-year-old emergency medical technician, is shot eight times by Louisville police during a no-knock warrant as part of a narcotics investigation.",https://en.wikipedia.org/wiki/Shooting_of_Breonna_Taylor,img,Breonna_Taylor_(graduation_photo).jpg,"By Source (WP:NFCC#4), Fair use, https://en.wikipedia.org/w/index.php?curid=65235229","Breonna Taylor at a graduation ceremony in Louisville, Kentucky"
85,3/16/2020,1,School closed nationwide,COVID-19 pandemic: Most schools nationwide are closed by this date.,,covid,,,
86,4/11/2020,1,The U.S. becomes the worst country for COVID-19,"The U.S. becomes the country with the highest number of reported COVID-19 deaths: over 20,000, overtaking Italy.",,covid,,,
87,5/25/2020,1,George Floyd killing,"Minneapolis police officer Derek Chauvin is videotaped kneeling on the neck of George Floyd, 46, until he dies, as three other officers watch. Video of the incident goes viral and the four officers are subsequently fired. Major protests begin in the Minneapolis–Saint Paul (Twin Cities) area following the killing of George Floyd.",https://en.wikipedia.org/wiki/Killing_of_George_Floyd,img,George_Floyd.jpg,"By Source (WP:NFCC#4), Fair use, https://en.wikipedia.org/w/index.php?curid=64103075","This is a picture of George Floyd in 2016. He later died May 25th, 2020, after a white police officer knelt on his neck for at least seven minutes."
88,5/30/2020,30,George Floyd protests,"Curfews are declared in Los Angeles, Philadelphia and Atlanta as riots and protests continue nationwide. The weeks' rioting is termed the worst instance of civil unrest in the United States since the 1968 King assassination riots.",https://en.wikipedia.org/wiki/George_Floyd_protests,img,BlackLivesMatter_protest_Alexanderplatz_Berlin_2020-06-06_26.jpg,"By Leonhard Lenz - Own work, CC0, https://commons.wikimedia.org/w/index.php?curid=91000999",Protest at Alexanderplatz in Berlin on June 6
89,6/12/2020,1,Killing of Rayshard Brooks,"Protests breakout in Atlanta following the killing of Rayshard Brooks, 27, by a police officer in the parking lot of a fast food restaurant. The next day, June 13, Atlanta Chief of Police Erika Shields resigns and protesters burn down the fast food restaurant where the incident took place.",https://en.wikipedia.org/wiki/Killing_of_Rayshard_Brooks,img,Brooks_and_Rolfe.jpg,"By Prepositioned recording device - https://www.youtube.com/watch?v=wLdpbq7iyRE&amp;t=2056, Public Domain, https://commons.wikimedia.org/w/index.php?curid=91505853",Devin Brosnan's body camera recorded police officer Garrett Rolfe questioning Rayshard Brooks in a restaurant parking lot shortly before Rolfe shot Brooks.
90,7/22/2020,1,Trump deploys feds on George Floyd protests,"George Floyd protests: President Trump announces a ""surge"" in deployments of federal officers to Democratic-run cities, following an earlier crackdown on protests in Oregon.",,img,George_Floyd_police_brutality_protests_-_Portland_Oregon_-_July_22_-_tedder_-_03.jpg,"By Tedder - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=92544502","Tear gas from w:BORTAC and fires at w:Mark O. Hatfield United States Courthouse during the 2020 w:George Floyd protests in Portland, Oregon."
91,7/30/2020,1,U.S. Economy Drops 32.9% In Worst GDP Report Ever,"Federal economic figures show a 32.9% annualized rate of GDP contraction between April and June, the sharpest decline since records began in 1945.",https://www.npr.org/sections/coronavirus-live-updates/2020/07/30/896714437/3-months-of-hell-u-s-economys-worst-quarter-ever,stats,,,
92,8/6/2020,1,Mark Zuckerberg became the third centibillionaire,"Facebook founder Mark Zuckerberg reaches a net worth exceeding $100 billion, becoming the third centibillionaire, alongside Jeff Bezos and Bill Gates.",,img,Mark_Zuckerberg_2018_Keynote.jpg,"By Anthony Quintano from Honolulu, HI, United States https://www.flickr.com/people/22882274@N04",Mark Zuckerberg F8 2018 Keynote
93,8/16/2020,40,2020 California wildfires,"During a record-breaking heat wave, a remnant thunderstorm from Tropical Storm Fausto spawns hundreds of wildfires in California. California sets a new record for land area destroyed by wildfires, with 2.1 million acres burned in the year thus far.",https://en.wikipedia.org/wiki/2020_California_wildfires,img,2020-Aug_9_Eureka_CA_from_top_of_Courthouse.jpg,"By National Weather Service - https://madriverunion.com/the-psps-is-winding-down-but-now-everything-is-orange/ https://madriverunion.com/wp-content/uploads/2020/09/Orangeland.jpg, Public Domain, https://commons.wikimedia.org/w/index.php?curid=93980304","September 10 satellite image of the wildfires burning in California and Oregon; The Aurora Fire on June 26, 2020; The Bobcat Fire burning in the San Gabriel mountains near Monrovia; Smoke from the North Complex over the Bay Bridge on September 9; An orange sky over Eureka on Sept 9; The CZU Lightning Complex fires along Butano Ridge on August 18; The Loyalton Fire near Calpine; The Hennessey and Spanish Fires burn towards Lake Berryessa on Aug. 18, 2020"
94,8/23/2020,1,Shooting of Jacob Blake,"Violent protests break out in Kenosha, Wisconsin following the shooting of Jacob Blake, 29, by a police officer.",https://en.wikipedia.org/wiki/Shooting_of_Jacob_Blake,img,National_guard_troops_in_Kenosha_Wisconsin_to_stop_the_protests.jpg,"By Lightburst - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=93752071","1,000 National Guard troops were sent to Kenosha to restore order during protests.[50]"
95,8/26/2020,7,Kenosha unrest,"Two people are fatally shot overnight during unrest in Kenosha, Wisconsin; a suspect is arrested. Professional athletes begin boycotting their respective sports contests in response to the shooting of Jacob Blake.",https://en.wikipedia.org/wiki/Kenosha_unrest,img,1280px-Car_Source_Kenosha_Burned_out_car_lot.jpg,"By Lightburst - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/wiki/File:Car_Source_Kenosha_Burned_out_car_lot.jpg","Completely burned out car dealership Car Source Kenosha Burned out car lot 5821 Sheridan Rd, Kenosha, WI 53140"
96,9/2/2020,1,Daniel Prude protest,"Protests breakout in Rochester, New York following the release of police body camera footage of the fatal March 2020 arrest of Daniel Prude.",https://en.wikipedia.org/wiki/Killing_of_Daniel_Prude,img,"Justice_for_Daniel_Prude-_City_Hall_Protest,_Sep10,_2020.jpg","By Larrymoss~commonswiki - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=94018317","Protesters sit naked in front on Rochester City Hall on September 10, 2020"
97,9/12/2020,1,2020 shooting of Los Angeles police officers,"Two Los Angeles County Sheriff's Department deputies are shot and critically injured while sitting in their patrol car in Compton, California.",https://en.wikipedia.org/wiki/2020_shooting_of_Los_Angeles_police_officers,shooting,,,
98,9/19/2020,1,Rochester shooting,"At least 16 people are shot and two confirmed dead in a mass shooting at a backyard party in Rochester, New York.",https://en.wikipedia.org/wiki/Rochester_shooting,shooting,,,
99,9/22/2020,1,"COVID-19 deaths surpass 200,000","Nationwide official COVID-19 deaths surpass 200,000.",,covid,,,
100,10/1/2020,8,White House COVID-19 outbreak,"The White House COVID-19 outbreak is realized, as both President Donald Trump and First Lady Melania Trump test positive for COVID-19 and enter quarantine. Several White House staffers and multiple congress members also test positive.",https://en.wikipedia.org/wiki/White_House_COVID-19_outbreak,img,President_Trump_Nominates_Judge_Amy_Coney_Barrett_for_Associate_Justice_of_the_U.S._Supreme_Court_(50397097478).jpg,"By The White House from Washington, DC - President Trump Nominates Judge Amy Coney Barrett for Associate Justice of the U.S. Supreme Court, Public Domain, https://commons.wikimedia.org/w/index.php?curid=94570479","President Donald J. Trump announces Judge Amy Coney Barrett as his nominee for Associate Justice of the Supreme Court of the United States Saturday, Sept. 26, 2020, in the Rose Garden of the White House. (Official White House Photo by Andrea Hanks)"
101,10/8/2020,1,Gretchen Whitmer kidnapping plot,The FBI charges 13 militiamen with plotting to kidnap Michigan Governor Gretchen Whitmer at her vacation home. A fourteenth suspect is arrested on October 15.,https://en.wikipedia.org/wiki/Gretchen_Whitmer_kidnapping_plot,img,741px-Gov._Gretchen_Whitmer.jpg,"By Julia Pickett - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=86313798",Gov. Gretchen Whitmer at round table with High School students
102,10/26/2020,1,Killing of Walter Wallace,"Walter Wallace Jr., 27, is shot and killed by two Philadelphia police officers, resulting in subsequent protests and riots.",https://en.wikipedia.org/wiki/Killing_of_Walter_Wallace,img,Walter_Wallace_police_screenshot.jpg,"By Source (WP:NFCC#4), Fair use, https://en.wikipedia.org/w/index.php?curid=65699547","A screenshot taken from a video of a dispute between two police officers and Walter Wallace, Jr."
103,10/30/2020,1,"COVID-19 Daily cases exceeded 100,000","The U.S. is the first country to exceed 100,000 daily cases.",,covid,,,
104,11/3/2020,5,2020 United States presidential election,The 2020 United States presidential election was the 59th quadrennial presidential election. The Democratic Party ticket of former vice president Joe Biden and incumbent U.S. senator from California Kamala Harris defeated the Republican Party ticket of incumbent president Donald Trump and vice president Mike Pence.,https://en.wikipedia.org/wiki/2020_United_States_presidential_election,img,"United_States_presidential_election_results_by_county,_2020.svg.jpg","By Magog the Ogre https://commons.wikimedia.org/wiki/File:United_States_presidential_election_results_by_county,_2020.svg",Results by county of the 2020 United States presidential election.
105,11/14/2020,57,2020–21 United States election protests,"Thousands of protesters march in Washington, D.C. in support of President Trump and his claims of electoral voter fraud.",https://en.wikipedia.org/wiki/2020%E2%80%9321_United_States_election_protests,img,"Wednesday_evening,_4_November_2020_Protect_The_Results_COUNT_EVERY_VOTE_RALLY_@_McPherson_Square_-_Washington_DC_IMG_7117a_(50584566578).jpg","By Elvert Barnes from Silver Spring MD, USA - IMG_7117a, CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=96256640","""Count Every Vote"" rally in Washington, DC, November 4, 2020"
106,11/20/2020,1,Mayfair Mall shooting,"At least eight people are injured in a mass shooting at the Mayfair Mall in Wauwatosa, Wisconsin.",https://en.wikipedia.org/wiki/Mayfair_Mall_shooting,shooting,,,
107,12/14/2020,1,"COVID-19 deaths surpass 300,000","COVID-19 pandemic: Nationwide COVID-19 deaths exceed 300,000",,covid,,,
108,12/25/2020,1,2020 Nashville bombing,"A suicide car bomb explosion in downtown Nashville, Tennessee leaves multiple people injured.",https://en.wikipedia.org/wiki/2020_Nashville_bombing,img,SecondAvenueCommercialDistrictNashville.jpg,"By Andrew Jameson - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=10400030","Second Avenue Commercial District, Nashville TN"
109,1/6/2021,1,2021 storming of the United States Capitol,"Five people die and at least 56 police officers and five civilians are injured after supporters of President Donald Trump storm the United States Capitol, forcing Congress to evacuate. Congress reconvenes and formally certifies Joe Biden as the next President of the United States in the early morning hours of January 7. President Trump formally concedes to an orderly transition of power to Joe Biden. At least 228 people had been charged related to the storming by February 1.",https://en.wikipedia.org/wiki/2021_storming_of_the_United_States_Capitol,img,2021_storming_of_the_United_States_Capitol_09_(cropped).jpg,"By Tyler Merbler - https://www.flickr.com/photos/37527185@N05/50812356151/, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=98641393","Protesters gathering outside the Capitol President Trump speaking to supporters at the ""Save America"" rally A gallows erected outside the building Crowd retreating from tear gas Tear gas being deployed Crowd pressing into the Capitol's Eastern entrance"
110,1/7/2021,1,Trump Social Media bans,"Facebook indefinitely bans President Donald Trump from all of its platforms, citing his role in the January 6 Capitol riot. Twitter permanently suspends President Trump's account the next day, January 8.",https://en.wikipedia.org/wiki/Social_media_use_by_Donald_Trump#Permanent_suspension,img,trumps-last-tweets.jpg,,"A tweet from President Trump about the riots that happened at the U.S. Capitol on Wednesday, Jan. 6, 2021."
111,1/20/2021,1,Inauguration of Joe Biden,"Joe Biden is sworn in as the 46th President of the United States. At the same time, Kamala Harris becomes the first woman, first Asian American and first African American to be the Vice President of the United States. Donald Trump becomes the first outgoing president to boycott his successor's inauguration since Andrew Johnson in 1869.",https://en.wikipedia.org/wiki/Inauguration_of_Joe_Biden,img,Passinreviewbiden.jpg,"By Sgt. Jacob Holmes - https://www.dvidshub.net/image/6488605/59th-presidential-inauguration, Public Domain, https://commons.wikimedia.org/w/index.php?curid=99059383","Members of the Joint Forces Color Guard march down Pennsylvania Avenue during the 59th Presidential Inauguration in Washington, D.C., Jan. 20, 2021. Military members from across all branches of the armed forces of the United States, including Reserve and National Guard components, provided ceremonial support during the inaugural period. (DoD photo by U.S. Army Sgt. Jacob Holmes)"